6.500000000000000000e+02;3.310000000000000000e+02
8.900000000000000000e+01;7.400000000000000000e+02
7.450000000000000000e+02;1.800000000000000000e+02
3.230000000000000000e+02;9.170000000000000000e+02
1.100000000000000000e+02;8.550000000000000000e+02
1.021000000000000000e+03;1.090000000000000000e+02
2.800000000000000000e+02;2.430000000000000000e+02
7.260000000000000000e+02;1.080000000000000000e+03
3.560000000000000000e+02;2.460000000000000000e+02
6.430000000000000000e+02;9.870000000000000000e+02
1.240000000000000000e+02;3.860000000000000000e+02
4.450000000000000000e+02;4.930000000000000000e+02
7.200000000000000000e+02;8.610000000000000000e+02
3.120000000000000000e+02;6.250000000000000000e+02
6.100000000000000000e+01;3.840000000000000000e+02
1.120000000000000000e+02;5.280000000000000000e+02
2.240000000000000000e+02;1.002000000000000000e+03
4.780000000000000000e+02;3.780000000000000000e+02
5.000000000000000000e+00;3.800000000000000000e+01
9.040000000000000000e+02;8.280000000000000000e+02
8.100000000000000000e+02;5.520000000000000000e+02
7.330000000000000000e+02;5.400000000000000000e+02
4.460000000000000000e+02;5.210000000000000000e+02
4.040000000000000000e+02;2.980000000000000000e+02
1.042000000000000000e+03;6.840000000000000000e+02
7.480000000000000000e+02;1.065000000000000000e+03
9.580000000000000000e+02;6.140000000000000000e+02
7.390000000000000000e+02;5.220000000000000000e+02
